respondent_id,submission_id,created_at,record_use_basis,respondent_role,specialty,practice_setting,opd_volume,support_staff,record_system,lab_tracking,referral_tracking,followup_tracking,communication_channel,digital_maturity
8181ee5c-5d04-4dd7-b805-eab958024f07,cc85fd57-d8a7-4cd7-a92b-a6ffea6f4e29,2026-06-11T09:00:00.000Z,Mostly records,Nurse,General medicine,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
20143796-a5fa-4385-ae31-7458f120bcb3,77d74459-b0aa-4843-96ab-f0acbd8e771b,2026-06-12T09:00:00.000Z,Mostly records,Physician,General medicine,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
6450ae2f-7ed9-4484-a8db-3e42fff18726,2d8c5ad1-88ad-4657-9c95-d4a584691b0b,2026-06-13T09:00:00.000Z,Mostly records,Nurse,Cardiology,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
727d679e-363b-42d6-9a46-1ca66d63442b,6bd807c3-ee8c-4df4-8ef3-5ec37c6d775c,2026-06-14T09:00:00.000Z,Mostly records,Physician,General medicine,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
f47601a1-4311-4ea6-b545-c13a8f52d740,50cc4399-e556-4c73-9ee8-6cb9503c31c4,2026-06-15T09:00:00.000Z,Mostly records,Nurse,General medicine,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
02a697f1-d730-42a7-a60c-a103f606c746,3fa14b10-b9d0-44b3-aafe-83b9bcc5b481,2026-06-16T09:00:00.000Z,Mostly records,Physician,Cardiology,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
94e02749-e564-4a24-8c03-5ea92a644292,d8ff36ba-8e4c-4c60-ad31-ca24025a9ce4,2026-06-17T09:00:00.000Z,Mostly records,Nurse,General medicine,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
7aea7025-c3f3-4bd8-8ec5-f87735882d68,456d43cd-856c-4886-8add-f05bd0823cad,2026-06-18T09:00:00.000Z,Mostly records,Physician,General medicine,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
d659bd9b-1b1d-4266-8939-4ab307f8f7c2,456a2915-47c9-4b59-8fda-184e795cd065,2026-06-10T09:00:00.000Z,Mostly records,Nurse,Cardiology,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
da7f341a-03d9-4b01-8eb0-d86bcae1498a,cc4c3dd4-7c7e-46ff-b7e1-edb04071caac,2026-06-11T09:00:00.000Z,Mostly records,Physician,General medicine,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
d85556dd-e084-4ff5-a837-1689de1c468c,77d76651-c3fc-48b0-948d-c2f8ff684145,2026-06-12T09:00:00.000Z,Mostly records,Nurse,General medicine,Solo private clinic,20-39,Receptionist;Nurse,EHR,Clinic software,Spreadsheet,Clinic software,Phone,4
